captured_on,window_days,archetype,meta_pct,deck_count
2026-08-13,14,Goryo's Vengeance,10.2,88
2026-08-13,14,Esper Blink,6.8,59
2026-08-13,14,Boros Energy,6.7,58
2026-08-13,14,Devoted Combo,5.9,51
2026-08-13,14,Eldrazi,4.9,42
2026-08-13,14,Dimir Midrange,4.5,39
2026-08-13,14,Affinity,4.5,39
2026-08-13,14,Mono-Green Eldrazi,4.2,36
2026-08-13,14,Ruby Storm,3.9,34
2026-08-13,14,Living End,3.7,32
2026-08-13,14,Izzet Prowess,3.5,30
2026-08-13,14,Neobrand,3.4,29
2026-08-13,14,Grixis Reanimator,3.0,26
2026-08-13,14,Domain Zoo,2.9,25
2026-08-13,14,Gruul Basking Broodscale Combo,2.8,24
2026-08-13,14,Eldrazi Tron,2.2,19
2026-08-13,14,Amulet Titan,2.1,18
2026-08-13,14,Eldrazi Ramp,2.0,17
2026-08-13,14,Temur Prowess,1.7,15
2026-08-13,14,Belcher,1.5,13
2026-08-13,14,Yawgmoth,1.4,12
2026-08-13,14,Boros Ponza,1.4,12
2026-08-13,14,Azorius Energy,1.3,11
2026-08-13,14,4c HollowOne,1.2,10
2026-08-13,14,Jeskai Energy,1.0,9
2026-08-13,14,Rakdos HollowOne,1.0,9
2026-08-13,14,Grixis Prowess,0.8,7
2026-08-13,14,Dimir Murktide,0.8,7
