captured_on,window_days,archetype,meta_pct,deck_count
2026-08-11,14,Goryo's Vengeance,10.4,94
2026-08-11,14,Boros Energy,7.3,66
2026-08-11,14,Esper Blink,6.0,54
2026-08-11,14,Devoted Combo,5.4,49
2026-08-11,14,Eldrazi,5.2,47
2026-08-11,14,Mono-Green Eldrazi,5.0,45
2026-08-11,14,Dimir Midrange,4.3,39
2026-08-11,14,Affinity,4.2,38
2026-08-11,14,Ruby Storm,3.6,33
2026-08-11,14,Neobrand,3.5,32
2026-08-11,14,Izzet Prowess,3.5,32
2026-08-11,14,Living End,3.5,32
2026-08-11,14,Domain Zoo,3.4,31
2026-08-11,14,Gruul Basking Broodscale Combo,3.0,27
2026-08-11,14,Grixis Reanimator,2.6,24
2026-08-11,14,Amulet Titan,2.3,21
2026-08-11,14,Temur Prowess,2.0,18
2026-08-11,14,Yawgmoth,1.8,16
2026-08-11,14,Eldrazi Tron,1.8,16
2026-08-11,14,Eldrazi Ramp,1.5,14
2026-08-11,14,4c HollowOne,1.5,14
2026-08-11,14,Azorius Energy,1.4,13
2026-08-11,14,Boros Ponza,1.3,12
2026-08-11,14,Belcher,1.2,11
2026-08-11,14,Rakdos HollowOne,0.9,8
2026-08-11,14,Dimir Murktide,0.9,8
2026-08-11,14,Jeskai Energy,0.9,8
2026-08-11,14,Song of Creation,0.8,7
