captured_on,window_days,archetype,meta_pct,deck_count
2026-08-08,14,Goryo's Vengeance,10.1,120
2026-08-08,14,Boros Energy,9.3,111
2026-08-08,14,Eldrazi,5.1,61
2026-08-08,14,Mono-Green Eldrazi,4.8,57
2026-08-08,14,Affinity,4.8,57
2026-08-08,14,Izzet Prowess,4.6,55
2026-08-08,14,Esper Blink,4.0,47
2026-08-08,14,Neobrand,3.9,46
2026-08-08,14,Dimir Midrange,3.7,44
2026-08-08,14,Amulet Titan,3.3,39
2026-08-08,14,Eldrazi Tron,3.2,38
2026-08-08,14,Ruby Storm,3.2,38
2026-08-08,14,Domain Zoo,3.1,37
2026-08-08,14,Devoted Combo,3.1,37
2026-08-08,14,Living End,2.9,35
2026-08-08,14,Gruul Basking Broodscale Combo,2.6,31
2026-08-08,14,Boros Ponza,2.3,27
2026-08-08,14,4c HollowOne,1.9,23
2026-08-08,14,Grixis Reanimator,1.8,22
2026-08-08,14,Yawgmoth,1.8,21
2026-08-08,14,Jeskai Energy,1.4,17
2026-08-08,14,Belcher,1.3,16
2026-08-08,14,Temur Prowess,1.2,14
2026-08-08,14,Eldrazi Ramp,1.1,13
2026-08-08,14,Rakdos HollowOne,1.0,12
2026-08-08,14,Azorius Energy,1.0,12
2026-08-08,14,Mono-Black Midrange,0.9,11
2026-08-08,14,Dimir Murktide,0.8,10
